id,dist,mag,absmag,spect,x,y,z
330421,322.6427,8.37,0.826,F2 V,115.099,288.381,-87.677
330424,178.292,9.09,2.834,F5 V,21.628,54.193,-168.474
330482,283.3059,8.07,0.809,K0,25.338,63.527,274.926
330488,166.5186,7.63,1.523,A4 V,48.422,121.41,-103.167
330511,403.0592,8.96,0.933,B9.5 V,30.094,75.475,-394.784
330514,655.7715,8.8,-0.284,K1 III,217.863,546.41,-289.842
330532,268.8172,9.19,2.043,F2 V,85.215,213.759,-138.955
330545,1475.8402,9.17,-1.675,B8,413.247,1036.761,965.639
330585,128.1607,6.67,1.131,K1 III,46.304,116.217,-27.834
330607,148.2646,6.94,1.085,A2,20.8806,52.4184,137.1083
330623,62.4446,8.07,4.093,F5 V,21.7993,54.7326,-20.6994
330643,758.6085,8.61,-0.79,K3 III,108.226,271.789,-699.932
330648,25.0167,8.74,6.749,K3/5 V,7.396,18.575,-15.037
330661,120.2194,7.26,1.86,F5 V,40.116,100.762,-51.869
330662,102.4966,8.74,3.686,F6 V,37.77,94.869,8.88
330664,76.7766,7.69,3.264,F3/5 V,21.9176,55.0521,-48.8211
330745,109.0287,9.26,4.072,G5,27.637,69.482,79.346
330755,371.8099,8.97,1.118,F0 V,116.453,292.804,-197.35
330774,96.2742,7.49,2.572,F5,15.0412,37.8242,87.246
330779,151.6584,8.21,2.306,F8,35.229,88.597,117.94
330787,73.7834,7.72,3.38,F8,15.456,38.872,60.779
330791,76.7613,9.8,5.374,G5 V,26.453,66.532,-27.678
330803,490.8907,7.22,-1.235,K5,109.627,275.767,391.035
330809,1052.1768,8.79,-1.32,K0,295.496,743.362,683.499
330824,297.274,8.76,1.394,G8 III,10.7598,27.0712,-295.8435
