3502,1082.0432,8.95,-1.221,K5,668.66,7.318,850.681
3529,447.9537,8.97,0.714,K0,332.1,3.665,300.597
3533,267.9785,8.94,1.8,A0,258.421,2.854,70.871
3548,220.9237,7.24,0.519,A0,212.078,2.351,61.845
3550,362.4878,10.32,2.524,F2,300.524,3.333,-202.662
3568,100.036,8.24,3.239,F5,94.759,1.0572,32.0451
3579,440.8173,8.62,0.399,F0,255.641,2.863,359.109
3583,487.9577,9.18,0.738,K0 III,469.42,5.262,-133.117
3598,403.8486,8.53,0.499,K3 III,290.741,3.274,-280.273
3602,121.7167,8.54,3.113,F0 V,121.211,1.366,-11.003
3607,95.4182,8.56,3.662,G0,90.302,1.019,30.807
3617,553.8014,9.41,0.693,G6/8 III,210.717,2.391,-512.141
3620,246.1465,5.87,-1.086,G0,99.722,1.132,225.039
3663,246.1257,7.2,0.244,A2V,99.708,1.149,225.022
3679,134.7709,9.05,3.402,F8/G0 V,133.286,1.54,-19.892
3682,246.7318,9.52,2.559,G8,194.553,2.252,-151.726
3705,239.4127,7.7,0.804,G5,149.118,1.736,187.295
3720,182.03,8.17,1.869,A3,159.8963,1.8673,86.975
3745,370.2744,7.29,-0.553,A0,45.2938,0.5329,367.4935
3749,694.8598,9.26,0.051,M2,179.406,2.112,671.297
3760,264.0752,7.94,0.831,A0,193.3682,2.2841,179.8312
3776,323.7917,8.42,0.869,G8 III,173.323,2.056,-273.488
3827,98.0082,8.56,3.604,F8,97.458,1.174,10.303
3838,183.2964,7.52,1.204,A0,148.625,1.795,107.261
3850,144.8939,7.74,1.935,F2,24.4551,0.296,142.8146
3853,335.9594,8.85,1.219,K1 III,253.598,3.074,-220.335
3865,481.4434,9.01,0.597,K0,480.316,5.837,32.414
3867,42.7876,7.17,4.013,F8/G0 V,42.755,0.52,1.59
3884,164.9505,9.04,2.953,F3/5 V,159.288,1.946,-42.805
3885,798.1594,10.3,0.79,F0/2 V,723.646,8.847,-336.626
3938,96.5474,7.64,2.716,F8,85.04,1.054,45.701
3954,257.8434,8.27,1.213,A0,175.003,2.182,189.347
3960,125.6103,8.44,2.945,F2,108.402,1.355,63.443
4006,262.1396,9.58,2.487,F6/7 IV,135.857,1.716,-224.181
4035,229.2105,8.43,1.629,A0 V,198.186,2.526,-115.124
4041,344.2734,8.49,0.805,K0,110.036,1.406,326.212
4054,647.6068,9.64,0.583,B8,218.947,2.803,609.466
4065,438.391,9.17,0.961,K0,140.049,1.8,415.415
4074,377.2049,8.09,0.207,K1 III,377.128,4.857,-5.885
4081,129.1498,9,3.445,G8 IV,99.608,1.285,-82.197
4083,57.4483,6.25,2.454,F6/7 V,53.964,0.697,-19.692
4111,278.3302,8.56,1.337,F3 V,277.822,3.604,16.419
4113,341.3614,10.81,3.144,F8,336.357,4.366,58.075
4155,390.8442,8.76,0.8,K0,385.85,5.065,62.073
4158,125.9057,7.76,2.26,G8 IV,103.449,1.358,-71.755
4165,279.9552,7.82,0.585,K0 III,137.0278,1.8016,-244.1212
4189,330.6042,7.9,0.303,F8,253.253,3.354,212.487
4212,308.6018,8.52,1.073,K0 III,305.708,4.075,-41.965
4216,58.9761,9.73,5.877,K3,32.348,0.432,49.311
4218,132.8564,9.19,3.573,F0,131.466,1.756,19.09
4220,133.6371,8.1,2.47,F0,132.235,1.767,19.224
4260,76.3084,8.75,4.337,F8,64.799,0.876,40.29
4261,242.7184,8.14,1.214,K0,147.8609,1.9982,192.4712
4265,652.8145,8.65,-0.424,K2 III,590.333,7.989,-278.585
4295,768.3394,10.3,0.872,K0,668.759,9.1,378.185
4312,154.0384,6.46,0.522,K1 III,140.549,1.92,-63.009
4324,172.9426,6.73,0.54,A2,126.988,1.739,117.389
4373,91.7512,7.96,3.147,F2/3 V,83.423,1.157,-38.177
4385,184.3828,9.53,3.201,F0,107.0199,1.4884,150.1382
4407,234.1701,8.87,2.022,A0 V,200.2551,2.8065,-121.3499
4418,142.4864,6.59,0.821,K0,135.839,1.91,42.97
4421,543.7125,8.65,-0.027,M0,358.657,5.045,408.611
4466,235.2594,9.64,2.782,F2 V,133.56,1.905,-193.662
4482,198.6752,9.15,2.659,F3 V,182.018,2.607,-79.588
4509,259.6206,9.04,1.968,F 0 V,218.093,3.144,140.813
4527,28.6707,12.04,9.753,M1,28.572,0.4133,2.3423
4542,321.0864,8.42,0.887,K0,252.149,3.662,198.756
4556,260.9401,8.09,1.007,K1 IIICNII,255.262,3.722,-54.009
4558,86.9015,8.09,3.395,F0 V,86.665,1.264,-6.282
4559,769.5642,9.06,-0.371,K5 (III),331.56,4.835,-694.459
4594,775.0452,8.18,-1.267,K5,398.223,5.851,664.89
4595,306.0067,8.77,1.341,G5,280.436,4.122,122.387
4628,200.0079,7.36,0.855,A2,57.887,0.859,191.446
4646,208.7938,9.16,2.561,A2 III,168.974,2.515,-122.623
4660,445.0373,8.82,0.578,G8/K0 III,398.528,5.951,-197.985
4663,1136.43,11.14,0.862,A0/1 V,777.405,11.627,-828.842
4665,1225.1262,6.24,-4.201,B3IA,543.897,8.137,1097.745
4669,168.3502,9.44,3.309,F3 V,147.225,2.204,-81.619
4674,68.6078,7.49,3.308,G0,64.1859,0.9612,24.2124
4677,66.0984,6.96,2.859,F2 V,53.298,0.8,-39.086
4699,1257.7478,7.94,-2.558,B 2 VE,711.394,10.717,1037.175
4703,852.8577,8.69,-0.964,B 8 V,395.637,5.965,755.514
